Bib,Place,Name,Division,Div Pos/Count,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
307,183,S Sarah LAMOND,F 35-39,4/8,Wave 2 Pink,00:19:50,00:03:56,00:29:20,00:01:21,00:27:46,1:22:14,1:26:13
445,184,M Matthew CONROY,M 55-59,12/25,Wave 5 Orange,00:23:03,00:03:17,00:27:38,00:01:59,00:26:22,1:22:19,1:38:30
55,185,M Matthew TREIBER,M Open,12/38,Wave 6 Green,00:22:18,00:02:41,00:30:23,00:01:48,00:25:09,1:22:19,1:42:18
304,186,K Kris OLLI,F 30-34,6/15,Wave 2 Pink,00:21:21,00:03:41,00:30:13,00:01:58,00:25:09,1:22:23,1:26:22
345,187,L Leslie COOK,F 50-54,3/11,Wave 4 Yellow,00:20:20,00:02:32,00:28:25,00:01:52,00:29:15,1:22:23,1:34:23
256,188,T Tess MICENA,F 12-18,1/6,Wave 2 Pink,00:14:02,00:02:31,00:32:12,00:00:49,00:32:50,1:22:25,1:26:24
241,189,J James TOELSTEDT,Clydes 40+,1/3,Wave 5 Orange,00:17:51,00:03:16,00:27:04,00:01:45,00:32:31,1:22:27,1:38:38
271,190,J Jacqueline REDES,F 25-29,4/12,Wave 2 Pink,00:22:36,00:04:34,00:28:59,00:01:02,00:25:17,1:22:27,1:26:27
476,191,B Brian FINNERTY,M 30-34,14/20,Wave 1 White,00:21:34,00:02:47,00:30:39,00:01:08,00:26:25,1:22:33,1:22:33
478,192,J Josephine BISHOP,F 60-64,2/8,Wave 4 Yellow,00:21:06,00:02:22,00:27:29,00:02:01,00:29:47,1:22:45,1:34:44
192,193,R Robert SHAW,M 55-59,13/25,Wave 5 Orange,00:21:29,00:04:27,00:25:43,00:02:09,00:29:17,1:23:05,1:39:16
467,194,C Carleen HOAHING-PRESSLEY,F 40-44,7/14,Wave 4 Yellow,00:18:09,00:04:02,00:28:31,00:02:39,00:29:48,1:23:09,1:35:09
111,195,B Brian SAMMON,M 40-44,14/24,Wave 3 Blue,00:19:40,00:02:44,00:29:10,00:02:24,00:29:17,1:23:15,1:31:15
267,196,K Kelly NEVILLE,F 19-24,2/7,Wave 2 Pink,00:17:11,00:03:07,00:32:53,00:01:12,00:28:55,1:23:18,1:27:17
184,197,J Jonathan BRODY,M 55-59,14/25,Wave 5 Orange,00:17:32,00:03:08,00:28:11,00:01:43,00:32:46,1:23:20,1:39:31
316,198,G Grace KUSMIERSKI,F 35-39,5/8,Wave 2 Pink,00:16:22,00:02:10,00:31:22,00:01:40,00:31:50,1:23:23,1:27:23
252,199,A Aaron DANG,M 25-29,8/17,Wave 1 White,00:23:39,00:05:30,00:30:37,00:00:51,00:22:53,1:23:28,1:23:28
250,200,M Myles RUSH,M 55-59,15/25,Wave 5 Orange,00:18:57,00:05:01,00:27:30,00:03:49,00:28:15,1:23:31,1:39:42
36,201,S Steven SCAFORDI,M 19-24,5/6,Wave 1 White,00:18:13,00:03:04,00:29:09,00:01:42,00:31:37,1:23:45,1:23:45
341,202,E Elizabeth RUSSO,F 45-49,4/9,Wave 4 Yellow,00:19:33,00:02:20,00:31:38,00:01:29,00:28:49,1:23:49,1:35:49
339,203,D Diana DOMENECH,F 45-49,5/9,Wave 4 Yellow,00:23:48,00:03:02,00:27:36,00:01:37,00:27:56,1:23:59,1:35:59
290,204,S Samantha DITARANTO,F 30-34,7/15,Wave 2 Pink,00:16:54,00:02:39,00:31:50,00:01:28,00:31:09,1:24:01,1:28:01
490,205,K Ken LARSEN,M 55-59,16/25,Wave 5 Orange,00:25:19,00:02:06,00:24:32,00:01:59,00:30:13,1:24:09,1:40:20
147,206,M Michael LYUDMIR,M 45-49,12/20,Wave 3 Blue,00:20:37,00:03:05,00:28:02,00:01:39,00:30:50,1:24:12,1:32:12
255,207,A Abigail OLEX,F 12-18,2/6,Wave 2 Pink,00:16:16,00:02:07,00:31:56,00:01:02,00:32:51,1:24:12,1:28:12
28,208,B Boaz GINZBURG,M Open,13/38,Wave 6 Green,00:20:17,00:03:23,00:33:25,00:01:13,00:25:54,1:24:13,1:44:12
433,209,B Ben REISNER,M 40-44,15/24,Wave 3 Blue,00:24:00,00:02:27,00:27:42,00:01:54,00:28:11,1:24:14,1:32:14
323,210,C Cynthia DAVIDSON,F 40-44,8/14,Wave 4 Yellow,00:18:46,00:03:54,00:31:49,00:01:35,00:28:16,1:24:21,1:36:20
124,211,M Mark CZETERKO,M 40-44,16/24,Wave 3 Blue,00:15:51,00:02:28,00:27:27,00:01:58,00:36:43,1:24:27,1:32:27
487,212,E Erica MISOREK,F 45-49,6/9,Wave 4 Yellow,00:18:39,00:02:26,00:27:42,00:01:57,00:33:51,1:24:34,1:36:33
107,213,R Raymond SMITH,M 40-44,17/24,Wave 3 Blue,00:20:32,00:03:44,00:28:37,00:01:31,00:30:12,1:24:37,1:32:37
388,214,G Grace OHANIAN,F 25-29,5/12,Wave 2 Pink,00:20:16,00:03:39,00:31:26,00:02:18,00:27:00,1:24:38,1:28:38
296,215,A Allison GREENWALD,F 30-34,8/15,Wave 2 Pink,00:19:01,00:04:38,00:30:15,00:01:10,00:29:36,1:24:40,1:28:40
283,216,M Molly OCONNOR,F 25-29,6/12,Wave 2 Pink,00:17:22,00:03:50,00:31:26,00:01:12,00:30:50,1:24:40,1:28:40
396,217,C Cristina VILLAGRA,F 55-59,4/10,Wave 4 Yellow,00:19:15,00:02:58,00:30:48,00:01:45,00:30:06,1:24:53,1:36:53
204,218,S Steven HELLER,M 60-64,11/18,Wave 5 Orange,00:20:49,00:04:02,00:26:23,00:04:37,00:29:05,1:24:57,1:41:07
286,219,K Katie OBRIEN,F Open,4/17,Wave 6 Green,00:22:35,00:02:54,00:31:09,00:01:02,00:27:19,1:25:00,1:44:59
480,220,J Jon SWIACKI,M 55-59,17/25,Wave 5 Orange,00:22:07,00:05:45,00:30:01,00:01:22,00:25:48,1:25:03,1:41:14
279,221,L Laura NASSIM,F 25-29,7/12,Wave 2 Pink,00:20:15,00:02:05,00:29:32,00:01:40,00:31:36,1:25:08,1:29:07
362,222,S Sharon KHAZZAM,F 55-59,5/10,Wave 4 Yellow,00:20:24,00:02:58,00:30:08,00:00:50,00:30:48,1:25:08,1:37:07
78,223,M Matthew DUDEK,M 30-34,15/20,Wave 1 White,00:21:00,00:01:15,00:32:30,00:00:58,00:29:25,1:25:08,1:25:08
320,224,L Liz CLARK-GARVEY,F 40-44,9/14,Wave 4 Yellow,00:20:33,00:03:07,00:29:59,00:01:31,00:30:01,1:25:12,1:37:11
57,225,C Christian PALAZZOTTO,M 25-29,9/17,Wave 1 White,00:22:33,00:03:19,00:29:23,00:01:29,00:28:36,1:25:20,1:25:20
369,226,L Laurie AGOSTI,F 60-64,3/8,Wave 4 Yellow,00:20:43,00:03:29,00:26:43,00:01:29,00:32:56,1:25:22,1:37:21
139,227,D David WENGER,M 45-49,13/20,Wave 3 Blue,00:21:51,00:04:01,00:27:44,00:01:50,00:30:11,1:25:37,1:33:37
133,228,A Andrew MURPHY,M 45-49,14/20,Wave 3 Blue,00:24:01,00:02:36,00:27:31,00:02:28,00:29:09,1:25:45,1:33:45
295,229,F Francesca HEMMERDE,F 30-34,9/15,Wave 2 Pink,00:24:12,00:04:51,00:29:33,00:01:44,00:25:26,1:25:46,1:29:46
38,230,R Richard HUTTER,M 19-24,6/6,Wave 1 White,00:20:57,00:03:26,00:31:57,00:01:27,00:27:59,1:25:47,1:25:47
470,231,R Roger LEVIN,M Open,14/38,Wave 6 Green,00:17:46,00:02:28,00:28:15,00:02:16,00:35:06,1:25:51,1:45:50
338,232,M Melissa CASTKA,F Open,5/17,Wave 6 Green,00:23:57,00:03:20,00:29:50,00:01:53,00:26:56,1:25:55,1:45:55
179,233,J Joe POWERS,M 55-59,18/25,Wave 5 Orange,00:25:09,00:04:10,00:29:58,00:01:08,00:25:31,1:25:57,1:42:08
88,234,J Jason BEERS,M Open,15/38,Wave 5 Orange,00:23:36,00:02:57,00:33:30,00:00:53,00:25:11,1:26:07,1:42:18
402,235,C Christopher TRUNCELLITO,M 25-29,10/17,Wave 1 White,00:24:13,00:02:41,00:28:52,00:01:04,00:29:21,1:26:11,1:26:11
103,236,K Kevin SHEEHAN,M Open,16/38,Wave 6 Green,00:17:07,00:02:48,00:33:23,00:01:14,00:31:45,1:26:17,1:46:16
405,237,A Andrew ZHANG,M Open,17/38,Wave 5 Orange,00:21:30,00:04:17,00:26:50,00:01:04,00:32:43,1:26:24,1:42:35
270,238,A Anonymous Participant,F 19-24,3/7,Wave 2 Pink,00:20:07,00:04:50,00:30:48,00:02:02,00:28:42,1:26:28,1:30:28
403,239,M Michael HUCZEK,M 25-29,11/17,Wave 1 White,00:20:04,00:03:04,00:27:49,00:02:10,00:33:27,1:26:35,1:26:35
385,240,M Morgant BROWN-DEVIRGILIO,F 12-18,3/6,Wave 2 Pink,00:18:54,00:01:53,00:29:03,00:01:34,00:35:38,1:27:02,1:31:02
406,241,A Andrew QUINN,M 25-29,12/17,Wave 1 White,00:19:51,00:02:40,00:29:08,00:03:48,00:31:38,1:27:04,1:27:04
352,242,A Andrea O'BRIEN,F 50-54,4/11,Wave 4 Yellow,00:16:32,00:02:21,00:28:17,00:02:00,00:38:05,1:27:14,1:39:14
244,243,S Sarah SEGER,F 30-34,10/15,Wave 2 Pink,00:18:52,00:04:03,00:32:51,00:02:11,00:29:23,1:27:20,1:31:20
444,244,B Bill WEISBERGER,M 55-59,19/25,Wave 5 Orange,00:22:27,00:06:06,00:26:10,00:02:31,00:30:17,1:27:31,1:43:42
269,245,A Amanda LAROSSA,F 19-24,4/7,Wave 2 Pink,00:16:26,00:03:55,00:34:47,00:01:02,00:31:22,1:27:32,1:31:32
289,246,T Taylor GROTH,F 30-34,11/15,Wave 2 Pink,00:20:26,00:04:00,00:33:38,00:01:03,00:28:29,1:27:36,1:31:36
317,247,L Laurie GROTH,F 35-39,6/8,Wave 2 Pink,00:21:04,00:03:22,00:32:05,00:02:35,00:28:30,1:27:36,1:31:36
65,248,M Matan COHEN,M 30-34,16/20,Wave 1 White,00:21:28,00:03:49,00:31:28,00:01:42,00:29:18,1:27:45,1:27:45
84,249,J Joe VASKAS,M 35-39,19/20,Wave 1 White,00:24:58,00:04:16,00:26:58,00:02:19,00:29:15,1:27:47,1:27:47
226,250,C Charles GOLDBERG,M 65-69,8/17,Wave 5 Orange,00:25:14,00:03:39,00:26:10,00:02:25,00:30:21,1:27:49,1:43:59
247,251,G Glen ROWELL,M Open,18/38,Wave 6 Green,00:21:57,00:03:34,00:27:08,00:02:11,00:33:17,1:28:07,1:48:06
303,252,R Rachel ADAMS,F 30-34,12/15,Wave 2 Pink,00:23:15,00:03:07,00:27:13,00:02:19,00:32:13,1:28:08,1:32:08
454,253,J Jan PASSOFF,M 70-74,6/10,Wave 5 Orange,00:19:07,00:03:35,00:29:11,00:01:26,00:34:52,1:28:10,1:44:20
245,254,R Ryan DISPIRITO,Clydes 39-,3/3,Wave 5 Orange,00:22:14,00:03:59,00:31:20,00:01:08,00:29:31,1:28:13,1:44:24
205,255,A Anonymous Participant,M 60-64,12/18,Wave 5 Orange,00:17:30,00:04:39,00:30:38,00:01:55,00:33:54,1:28:36,1:44:47
259,256,C Calista BULLARD,F 12-18,4/6,Wave 2 Pink,00:23:14,00:02:35,00:34:15,00:01:07,00:27:31,1:28:43,1:32:43
172,257,J James D'ERCOLE,M 50-54,13/24,Wave 3 Blue,00:25:38,00:05:06,00:28:14,00:01:33,00:28:21,1:28:53,1:36:53
258,258,S Sierra SOLOTOFF,F 12-18,5/6,Wave 2 Pink,00:23:58,00:06:04,00:33:32,00:02:07,00:23:15,1:28:57,1:32:56
153,259,P Peter MCCUSKER,M 50-54,14/24,Wave 3 Blue,00:21:11,00:06:27,00:27:25,00:02:32,00:31:25,1:29:00,1:37:00
222,260,R Richard LYNNE,M 65-69,9/17,Wave 5 Orange,00:25:09,00:03:23,00:27:08,00:02:26,00:30:59,1:29:04,1:45:15
217,261,A Alex IPIOTIS,M 65-69,10/17,Wave 5 Orange,00:22:40,00:05:03,00:24:23,00:01:45,00:35:15,1:29:06,1:45:17
146,262,G Glen FERGUSON,M 45-49,15/20,Wave 3 Blue,00:22:24,00:04:06,00:27:58,00:01:38,00:33:21,1:29:28,1:37:27
42,263,X Xander LEFEVRE,M 25-29,13/17,Wave 1 White,00:24:36,00:02:30,00:31:25,00:01:31,00:29:27,1:29:29,1:29:29
91,264,A Alexander KIDD,M 35-39,20/20,Wave 1 White,00:27:40,00:02:14,00:26:42,00:01:50,00:31:06,1:29:32,1:29:32
47,265,D Dylan RANDAZZO,M 25-29,14/17,Wave 1 White,00:20:33,00:04:01,00:30:40,00:02:09,00:32:13,1:29:36,1:29:36
266,266,O Olivia KUNICKA,F 19-24,5/7,Wave 2 Pink,00:19:22,00:04:46,00:30:25,00:01:30,00:33:55,1:29:57,1:33:57
264,267,C Cindy HUANG,F Open,6/17,Wave 2 Pink,00:20:21,00:03:30,00:34:30,00:01:53,00:29:54,1:30:08,1:34:07
115,268,J Juan Luis CALISTO,M 40-44,18/24,Wave 3 Blue,00:21:14,00:04:04,00:30:11,00:02:48,00:31:54,1:30:11,1:38:10
127,269,A Anonymous Participant,M 40-44,19/24,Wave 3 Blue,00:30:23,00:06:05,00:30:25,00:01:27,00:21:58,1:30:17,1:38:17
165,270,J John VERGEL DE DIOS,M 50-54,15/24,Wave 3 Blue,00:24:20,00:06:09,00:28:50,00:04:00,00:27:01,1:30:20,1:38:20
300,271,M Merylle SAKAI,F Open,7/17,Wave 6 Green,00:24:49,00:02:14,00:29:54,00:01:20,00:32:27,1:30:45,1:50:44
494,272,M Mark FRANKEL,M 65-69,11/17,Wave 5 Orange,00:18:42,00:03:31,00:32:52,00:02:17,00:33:34,1:30:56,1:47:06
407,273,S Sean CERRONE,M Open,19/38,Wave 6 Green,00:33:06,00:02:48,00:29:58,00:01:42,00:24:04,1:31:38,1:51:37
236,274,M Martin NIX,M 70-74,7/10,Wave 5 Orange,00:26:02,00:03:00,00:28:51,00:02:01,00:31:48,1:31:43,1:47:53
348,275,M Michele SWINDELL,F 50-54,5/11,Wave 4 Yellow,00:22:20,00:05:05,00:30:44,00:04:10,00:29:28,1:31:47,1:43:46
393,276,Ewa ORLOWSKI,F 50-54,6/11,Wave 4 Yellow,00:25:04,00:03:07,00:27:25,00:01:52,00:34:23,1:31:51,1:43:50
299,277,A Alyssa DIGIOVANNI,F 30-34,13/15,Wave 2 Pink,00:22:53,00:05:20,00:31:59,00:01:59,00:29:47,1:31:59,1:35:58
225,278,P Paul ALOE,M 65-69,12/17,Wave 5 Orange,00:22:03,00:04:28,00:28:54,00:03:01,00:33:42,1:32:08,1:48:19
215,279,K Ken CASCIO,M 60-64,13/18,Wave 5 Orange,00:24:25,00:06:39,00:31:02,00:01:55,00:28:11,1:32:12,1:48:23
114,280,V Vladimir PROSMUSHKIN,M 40-44,20/24,Wave 3 Blue,00:24:41,00:03:25,00:30:25,00:01:32,00:32:17,1:32:20,1:40:20
104,281,T Tom SUTCH,M 40-44,21/24,Wave 3 Blue,00:27:03,00:02:35,00:31:29,00:00:57,00:30:31,1:32:35,1:40:34
483,282,T Tara PHAFF,F 40-44,10/14,Wave 4 Yellow,00:22:58,00:03:19,00:32:25,00:02:15,00:31:40,1:32:37,1:44:37
361,283,L Lori MANGUAL,F 60-64,4/8,Wave 4 Yellow,00:24:47,00:03:13,00:32:43,00:02:39,00:29:57,1:33:20,1:45:19
399,284,Julie COOK,F 65-69,2/4,Wave 4 Yellow,00:22:58,00:03:02,00:30:37,00:02:17,00:34:30,1:33:23,1:45:23
76,285,K Kevin HEALY,M 30-34,17/20,Wave 1 White,00:23:09,00:05:40,00:35:24,00:01:11,00:28:07,1:33:30,1:33:30
437,286,C Cesar TRELLES,M 45-49,16/20,Wave 3 Blue,00:29:06,00:05:02,00:31:08,00:02:26,00:26:11,1:33:53,1:41:53
458,287,D Donna CUMMINGS,F 60-64,5/8,Wave 4 Yellow,00:25:28,00:03:00,00:33:24,00:02:08,00:30:03,1:34:04,1:46:03
395,288,U U. BIB 395,F Open,8/17,Wave 4 Yellow,00:20:32,00:03:56,00:33:46,00:01:31,00:34:30,1:34:15,1:46:15
427,289,K Kyle SCUDIERE,M Challenged,1/2,Wave 5 Orange,00:22:09,00:04:08,00:28:56,00:01:49,00:37:28,1:34:29,1:50:40
280,290,A Alexa FINKELSTEIN,F Challenged,1/4,Wave 5 Orange,00:22:09,00:04:09,00:28:56,00:01:48,00:37:27,1:34:29,1:50:40
387,291,E Emeline LAKROUT,F Challenged,2/4,Wave 3 Blue,00:25:25,00:05:38,00:26:53,00:02:40,00:34:13,1:34:49,1:42:48
137,292,B Bill GERACI,M 45-49,17/20,Wave 3 Blue,00:23:48,00:05:01,00:34:20,00:01:38,00:30:12,1:34:58,1:42:58
347,293,A Ana ENG,F 50-54,7/11,Wave 4 Yellow,00:23:46,00:05:00,00:30:10,00:03:46,00:32:18,1:35:00,1:46:59
378,294,J Jean ROSS,Athena 40+,1/2,Wave 4 Yellow,00:27:59,00:03:23,00:33:18,00:00:59,00:29:36,1:35:15,1:47:14
248,295,T Timothy LEE,M 65-69,13/17,Wave 5 Orange,00:18:49,00:05:08,00:31:21,00:03:59,00:36:19,1:35:35,1:51:46
450,296,B Barry HUPPERT,M 60-64,14/18,Wave 5 Orange,00:26:09,00:03:29,00:34:42,00:02:42,00:28:44,1:35:47,1:51:58
372,297,S Susan CULLEN,F 65-69,3/4,Wave 4 Yellow,00:19:38,00:04:59,00:33:45,00:02:43,00:35:06,1:36:11,1:48:11
234,298,R Randy KAY,M 70-74,8/10,Wave 5 Orange,00:25:59,00:03:23,00:31:55,00:01:04,00:33:52,1:36:14,1:52:24
24,299,H Harrison SCHUSTER,M Open,20/38,Wave 6 Green,00:24:04,00:04:41,00:34:28,00:01:26,00:31:37,1:36:15,1:56:15
382,300,L Lucy YU,Athena 39-,1/2,Wave 4 Yellow,00:24:22,00:04:51,00:33:12,00:01:50,00:32:03,1:36:18,1:48:18
257,301,E Elizabeth WONG,F 12-18,6/6,Wave 2 Pink,00:22:28,00:03:14,00:35:35,00:01:17,00:33:51,1:36:25,1:40:25
482,302,J John PACI,M Open,21/38,Wave 6 Green,00:25:25,00:04:30,00:34:40,00:01:34,00:30:21,1:36:29,1:56:28
66,303,D David TCHAO,M 30-34,18/20,Wave 1 White,00:18:51,00:02:25,00:40:58,00:01:23,00:33:01,1:36:38,1:36:38
297,304,R Rachel BECK,F 30-34,14/15,Wave 2 Pink,00:25:17,00:05:48,00:32:32,00:01:50,00:31:11,1:36:38,1:40:38
160,305,M Michael RONAN,M 50-54,16/24,Wave 3 Blue,00:18:44,00:04:04,00:31:09,00:02:08,00:40:34,1:36:39,1:44:38
472,306,C Camryn WALSH,F 25-29,8/12,Wave 2 Pink,00:21:30,00:02:48,00:33:11,00:03:09,00:36:17,1:36:55,1:40:55
321,307,L Lisa LOUGHERY,F 40-44,11/14,Wave 4 Yellow,00:26:13,00:04:12,00:31:24,00:02:21,00:32:55,1:37:06,1:49:06
355,308,H Heidi CUMMINGS,F 55-59,6/10,Wave 4 Yellow,00:20:25,00:03:10,00:32:43,00:02:08,00:38:53,1:37:19,1:49:18
240,309,W Willet HOSSFELD,Clydes 40+,2/3,Wave 5 Orange,00:22:26,00:04:31,00:33:07,00:02:06,00:35:12,1:37:21,1:53:32
328,310,P Paulina PINEDO,F 40-44,12/14,Wave 4 Yellow,00:21:36,00:03:59,00:36:42,00:03:13,00:31:55,1:37:24,1:49:24
108,311,B Brendan SHEEHAN,M Open,22/38,Wave 6 Green,00:29:07,00:02:58,00:34:02,00:02:19,00:29:15,1:37:41,1:57:41
52,312,E Ethan KHALIL,M 25-29,15/17,Wave 1 White,00:21:05,00:05:43,00:31:52,00:02:13,00:37:06,1:38:00,1:38:00
451,313,J James KILDUFF,M 60-64,15/18,Wave 5 Orange,00:25:07,00:04:01,00:35:55,00:01:22,00:31:39,1:38:03,1:54:14
353,314,F Fran DEANGELIS,F 55-59,7/10,Wave 4 Yellow,00:27:32,00:03:45,00:29:59,00:03:56,00:32:54,1:38:07,1:50:07
187,315,J Joseph FERRICK,M 55-59,20/25,Wave 5 Orange,00:23:59,00:04:29,00:31:14,00:02:04,00:36:31,1:38:17,1:54:28
263,316,A Abigale BAKER,F 19-24,6/7,Wave 2 Pink,00:19:53,00:05:07,00:35:19,00:03:00,00:35:09,1:38:29,1:42:28
479,317,R Rachel FOX,F 55-59,8/10,Wave 4 Yellow,00:20:45,00:05:42,00:35:34,00:01:43,00:34:51,1:38:36,1:50:35
313,318,R Rachel MARKFELD,F Open,9/17,Wave 6 Green,00:25:04,00:03:50,00:35:50,00:02:13,00:31:46,1:38:43,1:58:43
253,319,J Julia TORRES,F Open,10/17,Wave 6 Green,00:27:46,00:02:10,00:40:13,00:01:36,00:27:15,1:38:59,1:58:59
277,320,B Bruna BITANJI,F 25-29,9/12,Wave 2 Pink,00:25:43,00:05:27,00:36:10,00:02:00,00:29:44,1:39:04,1:43:03
145,321,P Paul SALOW,M Open,23/38,Wave 6 Green,00:28:07,00:05:06,00:33:15,00:02:52,00:30:02,1:39:22,1:59:22
191,322,P Paul FITZPATRICK,M 55-59,21/25,Wave 5 Orange,00:25:37,00:03:21,00:31:19,00:02:25,00:37:20,1:40:02,1:56:13
282,323,A Avery BANDOIAN,F 25-29,10/12,Wave 2 Pink,00:21:07,00:03:06,00:36:54,00:01:02,00:38:08,1:40:17,1:44:16
125,324,M Michael NIX,M Open,24/38,Wave 6 Green,00:23:50,00:05:37,00:35:07,00:01:25,00:34:27,1:40:26,2:00:25
404,325,J Jimmy MARTINEZ,M 25-29,16/17,Wave 1 White,00:29:54,00:02:48,00:32:40,00:01:26,00:33:58,1:40:45,1:40:45
112,326,Edward VINCENT,M 40-44,22/24,Wave 3 Blue,00:27:30,00:04:43,00:32:56,00:02:04,00:33:45,1:40:58,1:48:57
190,327,D Dean WAGNER,M Open,25/38,Wave 6 Green,00:19:22,00:04:02,00:28:19,00:03:06,00:46:12,1:41:00,2:00:59
432,328,B Brian SALES,M 40-44,23/24,Wave 3 Blue,00:28:36,00:04:31,00:33:34,00:03:02,00:31:17,1:41:00,1:49:00
461,329,P Paul MURCOTT,M 45-49,18/20,Wave 3 Blue,00:23:42,00:06:05,00:28:37,00:04:18,00:38:32,1:41:15,1:49:14
365,330,T Tania DANIELSON,F 60-64,6/8,Wave 4 Yellow,00:26:01,00:03:24,00:37:07,00:03:57,00:30:48,1:41:17,1:53:16
161,331,C Corey KESSLER,M Open,26/38,Wave 3 Blue,00:27:11,00:06:17,00:37:06,00:01:51,00:29:04,1:41:28,1:49:28
221,332,A Alex CZIRA,M 65-69,14/17,Wave 5 Orange,00:25:01,00:06:52,00:33:11,00:03:19,00:33:56,1:42:20,1:58:31
141,333,P Pere TORRES,M Open,27/38,Wave 6 Green,00:26:12,00:04:47,00:39:07,00:02:23,00:30:05,1:42:35,2:02:34
262,334,L Lauren PARK,F Open,11/17,Wave 6 Green,00:19:46,00:03:27,00:36:08,00:01:12,00:42:07,1:42:40,2:02:39
185,335,T Thomas MIKOLASKO,M 55-59,22/25,Wave 5 Orange,00:30:43,00:03:53,00:27:49,00:02:32,00:38:14,1:43:10,1:59:21
474,336,B Brendan FINNERTY,M 30-34,19/20,Wave 1 White,00:32:35,00:03:08,00:32:29,00:05:11,00:29:51,1:43:14,1:43:14
178,337,J Joseph MAIORANA,M 50-54,17/24,Wave 3 Blue,00:26:56,00:04:56,00:33:07,00:02:49,00:35:29,1:43:18,1:51:18
349,338,M Marina POULIS,F 50-54,8/11,Wave 4 Yellow,00:27:47,00:03:55,00:36:53,00:02:39,00:32:04,1:43:20,1:55:19
459,339,A Adam KIMMICK,M 60-64,16/18,Wave 5 Orange,00:20:07,00:04:03,00:36:34,00:02:31,00:40:30,1:43:45,1:59:56
367,340,M Maria I GARCIA,F 60-64,7/8,Wave 4 Yellow,00:28:01,00:03:59,00:35:31,00:02:46,00:33:38,1:43:55,1:55:55
166,341,J John ESCALANTE,M 50-54,18/24,Wave 3 Blue,00:27:36,00:05:27,00:29:42,00:03:04,00:38:30,1:44:20,1:52:19
163,342,S Shady AZZAM-GOMEZ,M 50-54,19/24,Wave 3 Blue,00:25:31,00:03:43,00:34:08,00:02:54,00:38:06,1:44:21,1:52:21
364,343,D Dawn CERRONE,F Open,12/17,Wave 6 Green,00:29:49,00:03:14,00:33:18,00:02:20,00:35:41,1:44:24,2:04:23
456,344,J Jack BIANCHINI,M 40-44,24/24,Wave 3 Blue,00:27:12,00:05:27,00:34:21,00:02:24,00:35:04,1:44:27,1:52:27
51,345,P Patrick HEALY,M 25-29,17/17,Wave 1 White,00:23:41,00:04:24,00:37:27,00:02:33,00:36:24,1:44:29,1:44:29
109,346,M Michael DUNN,M Open,28/38,Wave 6 Green,00:26:36,00:06:00,00:34:08,00:01:43,00:36:13,1:44:40,2:04:39
383,347,D Dawn KONOPKA,F Open,13/17,Wave 6 Green,00:32:02,00:03:58,00:33:10,00:02:42,00:33:23,1:45:15,2:05:14
486,348,R Robert BULGER,M 45-49,19/20,Wave 3 Blue,00:27:16,00:04:15,00:32:53,00:02:19,00:38:57,1:45:39,1:53:39
26,349,M Max MCCONVILLE,M Open,29/38,Wave 6 Green,00:25:54,00:03:56,00:39:22,00:01:30,00:35:00,1:45:41,2:05:40
246,350,J John MCCONVILLE,M Open,30/38,Wave 6 Green,00:26:32,00:05:49,00:33:35,00:01:42,00:38:04,1:45:42,2:05:41
443,351,F Frank COLETTI,M Open,31/38,Wave 1 White,00:26:27,00:08:30,00:29:42,00:06:26,00:36:49,1:47:54,1:47:54
219,352,M Michael KAUFMANN,M 65-69,15/17,Wave 5 Orange,00:21:44,00:05:13,00:34:51,00:02:26,00:43:45,1:48:00,2:04:11
319,353,K Kristy NIX,F 40-44,13/14,Wave 4 Yellow,00:31:46,00:05:37,00:35:14,00:01:20,00:34:28,1:48:26,2:00:26
311,354,N Nour SHARARA,F 35-39,7/8,Wave 2 Pink,00:29:42,00:05:37,00:37:46,00:02:07,00:33:23,1:48:35,1:52:35
336,355,A Anonymous Participant,F 45-49,7/9,Wave 4 Yellow,00:26:45,00:03:26,00:38:23,00:01:47,00:38:25,1:48:46,2:00:46
272,356,E Elise BARGMAN,F 25-29,11/12,Wave 2 Pink,00:24:19,00:06:53,00:36:50,00:02:50,00:37:59,1:48:50,1:52:50
465,357,C Carolyn OH,F 55-59,9/10,Wave 4 Yellow,00:28:01,00:04:51,00:34:23,00:04:53,00:36:58,1:49:05,2:01:04
376,358,K Khadija ABRAHAM,F Open,14/17,Wave 6 Green,00:21:04,00:03:45,00:42:06,00:02:37,00:39:38,1:49:11,2:09:10
463,359,M Mary JOHNSON,F Challenged,3/4,Wave 5 Orange,00:29:35,00:04:21,00:40:40,00:03:09,00:31:40,1:49:25,2:05:36
113,360,A Anonymous Participant,M Open,32/38,Wave 5 Orange,00:28:31,00:05:25,00:40:38,00:03:11,00:31:39,1:49:25,2:05:36
148,361,S Scott ANDERSON,M 45-49,20/20,Wave 3 Blue,00:20:23,00:05:51,00:31:32,00:01:42,00:50:36,1:50:05,1:58:05
356,362,D Dora SANTA MARIA,F 55-59,10/10,Wave 4 Yellow,00:31:54,00:03:19,00:33:11,00:02:04,00:40:01,1:50:29,2:02:28
162,363,A Asa CHAE,M 50-54,20/24,Wave 3 Blue,00:28:52,00:03:48,00:31:10,00:01:52,00:45:08,1:50:50,1:58:50
80,364,F Frank GOURNELOS,M 30-34,20/20,Wave 1 White,00:44:19,00:03:24,00:29:49,00:01:24,00:32:20,1:51:17,1:51:17
